text,cleaned_text,predicted_sentiment,keywords,subject,object
"This super app is truly a lifesaver, offering an all-in-one solution that brings together everything I need in one convenient place, making it incredibly easy to manage various tasks without switching between different apps.",super app truly lifesaver offering allinone solution brings together everything need one convenient place making incredibly easy manage various task without switching different apps,5,"{'subject': 'app offering everything', 'object': 'lifesaver solution place task apps'}",app offering everything,lifesaver solution place task apps
The app crashes every time I try to order food. So frustrating!,app crash every time try order food frustrating,1,"{'subject': 'crash', 'object': 'app crash time order food'}",crash,app crash time order food
"Love how I can pay bills, order food, and book rides all in one app!",love pay bill order food book ride one app,5,"{'subject': 'book', 'object': 'love pay bill order food book app'}",book,love pay bill order food book app
The interface is so cluttered and hard to navigate.,interface cluttered hard navigate,1,"{'subject': 'interface', 'object': 'interface'}",interface,interface
Best app ever! Saves me so much time and effort.,best app ever save much time effort,5,"{'subject': 'app', 'object': 'app time effort'}",app,app time effort
The payment feature is so convenient and secure.,payment feature convenient secure,4,"{'subject': 'payment', 'object': 'payment feature secure'}",payment,payment feature secure
"I tried booking a ride, but the app kept freezing. Disappointed.",tried booking ride app kept freezing disappointed,1,"{'subject': 'app', 'object': 'booking ride'}",app,booking ride
The food delivery service is fast and reliable!,food delivery service fast reliable,5,"{'subject': 'food', 'object': 'food delivery service'}",food,food delivery service
The app logs me out randomly. Needs a fix ASAP.,app log randomly need fix asap,1,"{'subject': 'log', 'object': 'log fix asap'}",log,log fix asap
I love the rewards program! Great way to save money.,love reward program great way save money,5,"{'subject': 'program', 'object': 'love reward program way money'}",program,love reward program way money
The customer support is terrible. No one responds to queries.,customer support terrible one responds query,1,"{'subject': 'one', 'object': 'customer support query'}",one,customer support query
This app has made my life so much easier. Highly recommend!,app made life much easier highly recommend,5,"{'subject': 'app life', 'object': 'life'}",app life,life
The ride-hailing feature is overpriced compared to other apps.,ridehailing feature overpriced compared apps,2,"{'subject': 'feature', 'object': 'feature apps'}",feature,feature apps
The grocery delivery is always on time and fresh!,grocery delivery always time fresh,5,"{'subject': 'delivery', 'object': 'grocery delivery time'}",delivery,grocery delivery time
The app is slow and takes forever to load.,app slow take forever load,1,"{'subject': 'app', 'object': 'load'}",app,load
I love the variety of services offered. Truly a super app!,love variety service offered truly super app,5,"{'subject': 'service', 'object': 'love variety service app'}",service,love variety service app
The app keeps asking for unnecessary permissions. Not cool.,app keep asking unnecessary permission cool,1,"{'subject': 'app', 'object': 'permission cool'}",app,permission cool
The food delivery options are amazing! So many restaurants to choose from.,food delivery option amazing many restaurant choose,5,"{'subject': 'option restaurant', 'object': 'food delivery option restaurant'}",option restaurant,food delivery option restaurant
The app is buggy and needs a major update.,app buggy need major update,1,"{'subject': 'app', 'object': 'update'}",app,update
I use this app every day for everything. It’s fantastic!,use app every day everything fantastic,5,"{'subject': 'app', 'object': 'app day everything'}",app,app day everything
The payment feature failed during checkout. Very unreliable.,payment feature failed checkout unreliable,1,"{'subject': 'feature', 'object': 'payment feature checkout'}",feature,payment feature checkout
The app’s design is sleek and user-friendly.,apps design sleek userfriendly,2,"{'subject': 'apps', 'object': 'apps sleek'}",apps,apps sleek
The ride-hailing feature is so convenient and affordable.,ridehailing feature convenient affordable,4,"{'subject': 'feature', 'object': 'feature'}",feature,feature
The app drains my phone battery way too fast.,app drain phone battery way fast,5,"{'subject': 'phone', 'object': 'phone battery way'}",phone,phone battery way
I love the discounts and coupons available on this app!,love discount coupon available app,5,"{'subject': 'coupon', 'object': 'love discount coupon app'}",coupon,love discount coupon app
The app doesn’t work offline. Needs improvement.,app doesnt work offline need improvement,1,"{'subject': 'app', 'object': 'offline improvement'}",app,offline improvement
The food delivery is always late. Not worth it.,food delivery always late worth,5,"{'subject': 'food', 'object': 'food delivery'}",food,food delivery
This app is my go-to for all my daily needs!,app goto daily need,5,"{'subject': 'goto', 'object': 'daily'}",goto,daily
The app’s notifications are too frequent and annoying.,apps notification frequent annoying,3,"{'subject': 'apps', 'object': 'apps notification annoying'}",apps,apps notification annoying
The grocery delivery service is a game-changer!,grocery delivery service gamechanger,4,"{'subject': 'grocery', 'object': 'grocery delivery service'}",grocery,grocery delivery service
The app freezes every time I try to make a payment.,app freeze every time try make payment,1,"{'subject': 'freeze', 'object': 'app freeze time payment'}",freeze,app freeze time payment
I love how I can track my orders in real-time!,love track order realtime,5,"{'subject': 'love', 'object': 'love track order realtime'}",love,love track order realtime
The app’s customer service is unhelpful and slow.,apps customer service unhelpful slow,2,"{'subject': 'apps', 'object': 'apps customer service slow'}",apps,apps customer service slow
The ride-hailing feature is so reliable and safe.,ridehailing feature reliable safe,5,"{'subject': 'feature', 'object': 'feature'}",feature,feature
The app’s interface is confusing and not intuitive.,apps interface confusing intuitive,3,"{'subject': 'interface', 'object': 'apps interface'}",interface,apps interface
I love the seamless integration of all services in one app!,love seamless integration service one app,5,"{'subject': 'integration', 'object': 'integration service app'}",integration,integration service app
The app takes up too much storage on my phone.,app take much storage phone,4,"{'subject': 'app', 'object': 'storage phone'}",app,storage phone
The food delivery is always hot and fresh. Great service!,food delivery always hot fresh great service,5,"{'subject': 'food', 'object': 'food delivery service'}",food,food delivery service
The app’s login process is too complicated.,apps login process complicated,2,"{'subject': 'process', 'object': 'apps login process'}",process,apps login process
I love the cashback offers on payments. Saves me money!,love cashback offer payment save money,5,"{'subject': 'love', 'object': 'love cashback payment money'}",love,love cashback payment money
The app crashes every time I try to book a ride.,app crash every time try book ride,1,"{'subject': 'crash', 'object': 'app crash time book'}",crash,app crash time book
The grocery delivery is always accurate and on time.,grocery delivery always accurate time,5,"{'subject': 'delivery', 'object': 'grocery delivery time'}",delivery,grocery delivery time
The app’s design is outdated and needs a refresh.,apps design outdated need refresh,3,"{'subject': 'design', 'object': 'apps refresh'}",design,apps refresh
I love how I can pay for everything with just one app!,love pay everything one app,5,"{'subject': 'love', 'object': 'love everything app'}",love,love everything app
The app’s search feature is terrible. Hard to find anything.,apps search feature terrible hard find anything,1,"{'subject': 'apps', 'object': 'apps search feature anything'}",apps,apps search feature anything
The food delivery options are limited in my area.,food delivery option limited area,3,"{'subject': 'food', 'object': 'food delivery option area'}",food,food delivery option area
This app has everything I need. It’s amazing!,app everything need amazing,5,"{'subject': 'everything', 'object': 'Unknown'}",everything,Unknown
The app’s notifications are helpful and timely.,apps notification helpful timely,5,"{'subject': 'apps', 'object': 'apps notification'}",apps,apps notification
The ride-hailing feature is too expensive during peak hours.,ridehailing feature expensive peak hour,2,"{'subject': 'feature', 'object': 'feature peak hour'}",feature,feature peak hour
